Lemma,SFI rank,Standard Frequency Index,Adjusted Frequency per Million,,,,,,,,,,,,,,,,,
the,1,87.85,60910,,,,,,,,,,,,,,,,,
be,2,86.86,48575,am,m,is,isn,s,are,re,aren,ain,been,was,wasn,were,weren,being,bein,beings
and,3,84.88,30789,ands,,,,,,,,,,,,,,,,
of,4,84.79,30126,,,,,,,,,,,,,,,,,
to,5,84.66,29272,,,,,,,,,,,,,,,,,
a,6,84.45,27872,an,,,,,,,,,,,,,,,,
in,7,83.25,21142,ins,,,,,,,,,,,,,,,,
have,8,81.53,14210,haven,ve,has,hasn,had,hadn,d,having,hafta,,,,,,,,
it,9,81.39,13772,its,,,,,,,,,,,,,,,,
you,10,81.08,12810,y,ye,your,yours,,,,,,,,,,,,,
he,11,80.42,11017,him,im,his,,,,,,,,,,,,,,
for,12,80.01,10025,,,,,,,,,,,,,,,,,
they,13,79.90,9764,them,em,their,theirs,,,,,,,,,,,,,
not,14,79.77,9494,t,,,,,,,,,,,,,,,,
that,15,79.37,8653,those,,,,,,,,,,,,,,,,
we,16,79.24,8401,us,our,ours,,,,,,,,,,,,,,
on,17,78.90,7763,,,,,,,,,,,,,,,,,
with,18,78.68,7381,,,,,,,,,,,,,,,,,
this,19,78.45,7003,these,,,,,,,,,,,,,,,,
i,20,78.34,6820,me,my,,,,,,,,,,,,,,,
do,21,78.33,6802,does,don,doesn,did,didn,doing,done,doin,,,,,,,,,
as,22,78.29,6747,,,,,,,,,,,,,,,,,
at,23,77.46,5570,,,,,,,,,,,,,,,,,
she,24,77.16,5195,her,hers,,,,,,,,,,,,,,,
but,25,77.06,5087,buts,,,,,,,,,,,,,,,,
from,26,76.63,4598,,,,,,,,,,,,,,,,,
by,27,76.36,4323,,,,,,,,,,,,,,,,,
will,28,76.23,4195,wills,willed,willing,won,ll,,,,,,,,,,,,
or,29,76.09,4060,,,,,,,,,,,,,,,,,
say,30,75.35,3425,says,said,saying,sayings,,,,,,,,,,,,,
go,31,75.13,3260,goes,went,going,gone,goin,gonna,,,,,,,,,,,
so,32,75.09,3227,,,,,,,,,,,,,,,,,
all,33,75.02,3175,,,,,,,,,,,,,,,,,
if,34,74.78,3009,ifs,,,,,,,,,,,,,,,,
one,35,74.77,2997,ones,,,,,,,,,,,,,,,,
would,36,74.77,2997,wouldn,,,,,,,,,,,,,,,,
about,37,74.72,2967,,,,,,,,,,,,,,,,,
can,38,74.61,2890,cans,canned,canning,cannot,,,,,,,,,,,,,
which,39,74.60,2886,,,,,,,,,,,,,,,,,
there,40,74.50,2820,,,,,,,,,,,,,,,,,
know,41,74.21,2634,knows,knew,knowing,known,,,,,,,,,,,,,
more,42,74.20,2631,,,,,,,,,,,,,,,,,
get,43,74.10,2573,gets,got,getting,gotten,gettin,gotta,,,,,,,,,,,
who,44,74.04,2534,whom,whose,,,,,,,,,,,,,,,
like,45,73.92,2465,likes,liked,liking,,,,,,,,,,,,,,
when,46,73.86,2435,,,,,,,,,,,,,,,,,
think,47,73.86,2433,thinks,thought,thinking,thoughts,,,,,,,,,,,,,
make,48,73.73,2359,makes,made,making,,,,,,,,,,,,,,
time,49,73.62,2302,times,timed,timing,,,,,,,,,,,,,,
see,50,73.48,2226,sees,saw,seeing,seen,,,,,,,,,,,,,
what,51,73.43,2204,,,,,,,,,,,,,,,,,
up,52,73.32,2150,ups,upped,upping,,,,,,,,,,,,,,
some,53,73.28,2130,,,,,,,,,,,,,,,,,
other,54,73.22,2100,others,,,,,,,,,,,,,,,,
out,55,73.15,2064,outs,outed,outing,outings,,,,,,,,,,,,,
good,56,73.09,2038,goodest,,,,,,,,,,,,,,,,
people,57,73.05,2019,peoples,peopled,peopling,,,,,,,,,,,,,,
year,58,72.90,1949,years,,,,,,,,,,,,,,,,
take,59,72.73,1873,takes,took,taking,taken,,,,,,,,,,,,,
no,60,72.68,1854,,,,,,,,,,,,,,,,,
well,61,72.64,1835,wells,welled,welling,,,,,,,,,,,,,,
because,62,72.61,1824,cos,,,,,,,,,,,,,,,,
very,63,72.53,1792,,,,,,,,,,,,,,,,,
just,64,72.43,1751,,,,,,,,,,,,,,,,,
come,65,72.29,1694,comes,came,coming,cometh,,,,,,,,,,,,,
could,66,72.27,1688,couldn,coulda,,,,,,,,,,,,,,,
work,67,72.24,1674,works,worked,working,workings,,,,,,,,,,,,,
use,68,72.19,1657,uses,used,using,,,,,,,,,,,,,,
than,69,72.02,1591,,,,,,,,,,,,,,,,,
now,70,71.94,1563,,,,,,,,,,,,,,,,,
then,71,71.91,1554,,,,,,,,,,,,,,,,,
also,72,71.91,1552,,,,,,,,,,,,,,,,,
into,73,71.70,1477,,,,,,,,,,,,,,,,,
only,74,71.69,1475,,,,,,,,,,,,,,,,,
look,75,71.37,1370,looks,looked,looking,,,,,,,,,,,,,,
